formula,source,is_train,m,V,Tmax
Ga1Te1,FactSage,1,45.08676028643393,32.714714638139284,1100
Ba1Cl2,FactSage,1,28.178343158930435,33.95821116195488,1100
Al1P1,FactSage/PhononDB,1,14.420074546040974,20.87766544282388,1800
O2W1,FactSage,0,14.718467409329689,12.446849222172716,1800
Co1Sb2,FactSage,1,39.71209775332159,20.439483149665122,1100
Ca1Rb1Sb1,PhononDB,0,35.88494687997606,41.811496391628324,1000
Nb1O2,FactSage,1,13.648920527193324,12.182121703542965,1000
Be1O1,PhononDB,0,5.7649094203957185,7.002532609276253,1000
Li2N2Zr1,PhononDB,0,7.434211122424495,10.367870884533062,1000
Ba1Br1F1,PhononDB,0,27.51713337042472,26.427547651969608,1000
Li2Te1,FactSage,1,6.582912272095497,23.179297829504534,1000
Br3In1,FactSage,0,47.11546446729183,35.24289986076261,600
Na2Te1,FactSage,1,19.480038877498973,32.86574392614791,1400
Br1K1,FactSage/PhononDB,1,26.25252254116097,37.86764921703034,1800
Os1P2,PhononDB,0,26.636702251293546,14.95320269107004,1000
Co1Fe2O4,FactSage,1,15.968289813877833,11.094625990561124,700
P2Zn3,FactSage,1,21.019970341356267,18.904286741750244,1500
Cl2Ni1,FactSage,1,22.10235452656713,19.742157310458953,1200
Br2Ti1,FactSage,1,29.934529494173173,32.19151361508316,1400
I3Y1,FactSage,1,52.27993626138685,48.59633583883233,900
Be1S1,PhononDB,0,7.0349425583770575,14.47790232849039,1000
Al2Ba1O4,FactSage,1,14.254586978909993,15.375350651114616,1300
Ba1S1,FactSage/PhononDB,0,25.995266925238496,33.65479805213937,1800
Li1Na1S1,PhononDB,0,8.142313796155214,17.820044253972227,1000
C1Nb1,FactSage,0,10.635738797400766,11.430086558782856,1800
Cl3Zr1,FactSage,1,25.530794635174495,32.012641345891105,1000
Cr1N1,FactSage,1,11.034286028320013,10.675668413362287,1800
As1Ba1Li1,PhononDB,0,20.47819182094958,27.67551866163807,1000
Ba1F1I1,PhononDB,0,33.05638839946405,30.099838960967737,1000
N1Zr1,FactSage,1,12.14234249890954,12.307376642696207,1800
N1Y1,FactSage,1,12.100347034399595,14.878773502928398,1800
Fe3O4,FactSage,1,12.436411091191523,11.095798722986428,800
Ca1Cd2P2,PhononDB,0,23.817875276664914,22.873717974087285,1000
Cd1I2,FactSage,1,59.609428413340765,42.11414135657035,600
Ca1O6Sb2,PhononDB,0,15.75728372675878,13.905424984484304,1000
Br2Cr1,FactSage,1,31.49881140651144,29.38719884077361,1000
Lu2O2S1,PhononDB,0,17.195301096118165,15.414153465356858,1000
Ca1H2,FactSage,1,0.9832127321414578,11.893110119795535,1000
As1Br3Ca3,PhononDB,0,29.94652046905942,30.333837114937836,1000
Ca3N2,FactSage,0,10.37928513239419,18.889796523546426,1400
Nd2O2Se1,PhononDB,0,25.060012735897946,19.781469787147337,1000
La2O2Se1,PhononDB,0,24.83273762664893,20.913065213280696,1000
Ag1I1,PhononDB,0,58.30728402438836,36.60979166204928,1000
Li3N1,FactSage,1,4.6411064078633935,11.220641045425358,1200
Cl1N1Th1,PhononDB,0,18.00117089773894,19.69751317577,1000
B1P1,PhononDB,0,8.013862588998352,11.749846827486785,1000
Cl2Fe1,FactSage,1,21.685828659992552,23.920964167111183,900
H2Ti1,FactSage,1,0.9871534160451144,7.193809613532463,1800
Cd1Te1,FactSage/PhononDB,1,59.76244255471625,36.413603974221786,1800
Br2Hg1,FactSage,0,57.14184032457022,38.36696594550892,1400
C1V2,FactSage,1,9.719169052868683,10.980688736917038,1800
H2Sr1,FactSage,1,0.996476989084932,14.954159868862815,900
Cu3S4V1,PhononDB,0,22.541982748362514,19.82405188131445,1000
Cu3Se4Ta1,PhononDB,0,44.340441993308936,23.296968119469863,1000
F1La1O1,PhononDB,0,13.248228977875035,16.34412923638804,1000
Be1Se1,PhononDB,0,8.088942146734519,17.411838205808998,1000
Li2Se1,FactSage,0,6.380151104178065,18.178521435869264,1300
Se1Zn1,FactSage/PhononDB,1,35.774263449909604,23.668822714345907,1400
S1Yb1,PhononDB,0,27.052132322468978,22.71082244760777,1000
Er2O2Se1,PhononDB,0,25.923634529565746,17.023746408338887,1000
N2Sr1Ti1,PhononDB,0,16.331002879717087,14.76773088834083,1000
Hg1O6Sb2,PhononDB,0,24.675374234788922,13.961100272561364,1000
Ni2P1,FactSage,1,20.274483568140585,11.119398103565588,1300
Cu2S4W1,PhononDB,0,29.00368340789647,24.23196804480863,1000
Mg2O7V2,FactSage,0,11.919551029015505,12.63104114718011,1700
Al2Te3,FactSage,1,22.27202780190208,36.644829538361954,1100
Cl3Nd1,PhononDB,0,28.458285572776088,26.185329458178078,1000
K1Li1S1,PhononDB,0,9.73915716929813,22.00183636037345,1000
Mn1P1,FactSage,1,19.806799437652266,11.971168214496837,1300
Br3Ir1,FactSage,1,56.441462320070855,30.24441463019301,900
Ge1O6Sr1Te1,PhononDB,0,20.811304042076333,14.016477588781235,1000
Cu3P1,FactSage,1,20.82377947642314,12.540647423594258,1300
Mo1O2,FactSage,1,13.712619828228489,12.182644720692766,1800
Br1Tl1,FactSage,1,57.445560189287384,38.97699896208244,900
Ag2Hg1I4,PhononDB,0,67.78054473752914,40.03809865908835,1000
C1Mo1,FactSage,1,10.674377822468962,10.496700318696432,1800
Co3O4,FactSage,1,12.583252456197467,9.67343894777167,1400
S2Zr1,FactSage/PhononDB,0,23.72553561144952,25.998870917702387,1800
O4Ti1Zn2,FactSage,1,15.714730306468114,11.227740648310423,1800
Cr1F2,FactSage,0,13.914357141772632,13.865807731053527,1100
O1Sn1,FactSage,0,14.099155470961938,18.82135907303205,1200
Mn1Te1,FactSage,1,38.403471133921705,25.63899476191741,1400
Ba1Se3,PhononDB,0,50.13403450045541,29.589238481359835,1000
P2Yb1Zn2,PhononDB,0,30.529360540999857,19.06096905366573,1000
Br2Mo1,FactSage,1,43.59540137849456,32.54082726183569,1800
Br2V1,FactSage,1,31.108671035687127,28.690432022196887,800
Mn2Sb1,FactSage,1,37.8569913390949,16.707738080157206,1100
Cu1S2Sc1,PhononDB,0,21.59250890380647,18.322282811495462,1000
Na2O1,FactSage,1,9.43396644275546,14.596187072694613,1000
Li1Rb1Se1,PhononDB,0,17.947452420947393,27.239893077667602,1000
Br2Cd1,FactSage,1,46.70508563554586,34.14721548932915,800
H2Mg1,FactSage,1,0.967804676185382,10.231936466711646,1800
Li2S1,FactSage,1,5.7058699943598405,15.606906892002561,1200
F3Mg3N1,PhononDB,0,9.41237894359922,11.054235643838336,1000
Pd1Te2,FactSage,1,58.0257755747372,25.29190535864859,900
F1Li1,FactSage,1,5.083691232001821,8.511077024366068,1800
N1V1,FactSage,1,10.98602129158314,8.64360884820685,1800
S1Zn1,FactSage/PhononDB,1,21.5169130742557,20.23783757027015,1200
